iter	Passed	Remaining
351	1073040	1975370
352	1076173	1972477
353	1079312	1969592
354	1082428	1966665
355	1085938	1964449
356	1089181	1961747
357	1092581	1959322
358	1095468	1955975
359	1099043	1953855
360	1102168	1950929
361	1105523	1948408
362	1108695	1945561
363	1111682	1942389
364	1114801	1939449
365	1118406	1937348
366	1121880	1935014
367	1125397	1932747
368	1128609	1929952
369	1131673	1926904
370	1135211	1924657
371	1138386	1921792
372	1141556	1918917
373	1144686	1915971
374	1147801	1913002
375	1151503	1911006
376	1154870	1908446
377	1157729	1905047
378	1161135	1902547
379	1164137	1899382
380	1167703	1897134
381	1170587	1893778
382	1174093	1891424
383	1177438	1888807
384	1180199	1885254
385	1183155	1882014
386	1186808	1879880
387	1190225	1877366
388	1193323	1874345
389	1196497	1871445
390	1199800	1868742
391	1202654	1865341
392	1206234	1863065
393	1209587	1860432
394	1212939	1857793
395	1216449	1855392
396	1219626	1852481
397	1222874	1849674
398	1226026	1846721
399	1230008	1845012
400	1233511	1842577
401	1236587	1839501
402	1239761	1836569
403	1242971	1833690
404	1246191	1830825
405	1249568	1828187
406	1252613	1825060
407	1255856	1822222
408	1259081	1819357
409	1262387	1816606
410	1265900	1814149
411	1268913	1810973
412	1272254	1808265
413	1275831	1805886
414	1279414	1803512
415	1282367	1800247
416	1285261	1796901
417	1288797	1794449
418	1291933	1791440
419	1295277	1788717
420	1298640	1786015
421	1301704	1782902
422	1304925	1780004
423	1308124	1777074
424	1311663	1774604
425	1314867	1771676
426	1317914	1768536
427	1320821	1765209
428	1324351	1762714
429	1328053	1760443
430	1331198	1757429
431	1334312	1754373
432	1337290	1751139
433	1340417	1748102
434	1344052	1745723
435	1347141	1742632
436	1350399	1739759
437	1353372	1736518
438	1356537	1733524
439	1360178	1731136
440	1363536	1728382
441	1366525	1725161
442	1369741	1722225
443	1373193	1719584
444	1376767	1717092
445	1379567	1713633
446	1382723	1710617
447	1385990	1707738
448	1389231	1704825
449	1392408	1701833
450	1395906	1699230
451	1398954	1696078
452	1401708	1692571
453	1404533	1689152
454	1407773	1686234
455	1410984	1683279
456	1413624	1679645
457	1416601	1676414
458	1419872	1673531
459	1423352	1670891
460	1426978	1668419
461	1430486	1665804
462	1433296	1662375
463	1436491	1659395
464	1439971	1656741
465	1443414	1654041
466	1446469	1650895
467	1449409	1647619
468	1452465	1644476
469	1454415	1640085
470	1457662	1637162
471	1460901	1634228
472	1463936	1631066
473	1467209	1628168
474	1470503	1625293
475	1473704	1622312
476	1476690	1619096
477	1480478	1616757
478	1483314	1613375
479	1487146	1611075
480	1490789	1608565
481	1493940	1605520
482	1497251	1602648
483	1500518	1599726
484	1503866	1596889
485	1507093	1593921
486	1510154	1590779
487	1513727	1588172
488	1516558	1584788
489	1520094	1582138
490	1523110	1578947
491	1526157	1575788
492	1529197	1572622
493	1532380	1569604
494	1535767	1566793
495	1539298	1564126
496	1542183	1560801
497	1545274	1557685
498	1548800	1555008
499	1552230	1552230
500	1555349	1549140
501	1558371	1545954
502	1561458	1542833
503	1564609	1539774
504	1568186	1537133
505	1571384	1534118
506	1574431	1530956
507	1577483	1527799
508	1580622	1524725
509	1584173	1522048
510	1587221	1518886
511	1590025	1515493
512	1593025	1512287
513	1596267	1509311
514	1599503	1506328
515	1602883	1503479
516	1605917	1500305
517	1608881	1497067
518	1612222	1494179
519	1615650	1491369
520	1618663	1488176
521	1621661	1484970
522	1624847	1481935
523	1628032	1478899
524	1631279	1475919
525	1634504	1472918
526	1638033	1470189
527	1640974	1466931
528	1644203	1463931
529	1647676	1461147
530	1651080	1458298
531	1654239	1455233
532	1657462	1452223
533	1660625	1449159
534	1664103	1446370
535	1667140	1443196
536	1670128	1439980
537	1673164	1436806
538	1675708	1433212
539	1679017	1430274
540	1682955	1427868
541	1686060	1424751
542	1689249	1421706
543	1692474	1418691
544	1695909	1415850
545	1699330	1412996
546	1702568	1409988
547	1705924	1407076
548	1708444	1403476
549	1711596	1400397
550	1714897	1397439
551	1717989	1394310
552	1721084	1391184
553	1724474	1388295
554	1727801	1385354
555	1730987	1382299
556	1734100	1379185
557	1737073	1375961
558	1740175	1372839
559	1743331	1369760
560	1746599	1366768
561	1750227	1364056
562	1753190	1360824
563	1756442	1357817
564	1759929	1354990
565	1762973	1351820
566	1766065	1348688
567	1769315	1345676
568	1772575	1342671
569	1775925	1339733
570	1779728	1337134
571	1782738	1333937
572	1785778	1330763
573	1789174	1327854
574	1792857	1325155
575	1796147	1322164
576	1799748	1319399
577	1802705	1316161
578	1806020	1313186
579	1809911	1310625
580	1813432	1307793
581	1816554	1304673
582	1819582	1301485
583	1823183	1298706
584	1826312	1295588
585	1829571	1292564
586	1833093	1289723
587	1836148	1286552
588	1839439	1283547
589	1842760	1280562
590	1845506	1277178
591	1848717	1274115
592	1851899	1271034
593	1855114	1267974
594	1858681	1265152
595	1862135	1262252
596	1865202	1259089
597	1868144	1255842
598	1871477	1252858
599	1874659	1249772
600	1878135	1246882
601	1881125	1243667
602	1884483	1240696
603	1888082	1237881
604	1891413	1234889
605	1894289	1231600
606	1897460	1228504
607	1900526	1225339
608	1903711	1222251
609	1906987	1219221
610	1910180	1216138
611	1912892	1212748
612	1915936	1209571
613	1919266	1206574
614	1922637	1203602
615	1926216	1200758
616	1929269	1197585
617	1932480	1194510
618	1935921	1191576
619	1939035	1188441
620	1942119	1185286
621	1945278	1182178
622	1948221	1178940
623	1951554	1175936
624	1954866	1172919
625	1958215	1169924
626	1961541	1166914
627	1964549	1163713
628	1967979	1160763
629	1971030	1157589
630	1974117	1154436
631	1977188	1151274
632	1980538	1148274
633	1983907	1145283
634	1987171	1142232
635	1990105	1138991
636	1993277	1135886
637	1996527	1132825
638	1999873	1129818
639	2003162	1126779
640	2006197	1123595
641	2009363	1120486
642	2012597	1117414
643	2016254	1114575
644	2019497	1111506
645	2022526	1108319
646	2025732	1105229
647	2028293	1101789
648	2031781	1098852
649	2035061	1095802
650	2038614	1092897
651	2041734	1089760
652	2044802	1086594
653	2048206	1083607
654	2051377	1080496
655	2054187	1077196
656	2057275	1074041
657	2060428	1070921
658	2063239	1067624
659	2066516	1064568
660	2069237	1061227
661	2072324	1058075
662	2075536	1054986
663	2078807	1051926
664	2082212	1048934
665	2085089	1045675
666	2088368	1042618
667	2091871	1039672
668	2095418	1036746
669	2098931	1033802
670	2102031	1030653
671	2105091	1027485
672	2108479	1024476
673	2111737	1021404
674	2115083	1018373
675	2118471	1015362
676	2121421	1012140
677	2124504	1008982
678	2127611	1005836
679	2131297	1002963
680	2134233	999736
681	2137576	996699
682	2140621	993524
683	2143577	990307
684	2147643	987602
685	2151866	984965
686	2155700	982145
687	2158844	979011
688	2162069	975912
689	2165357	972841
690	2168348	969637
691	2171576	966539
692	2174809	963443
693	2178167	960402
694	2181385	957298
695	2184350	954084
696	2187467	950936
697	2190703	947840
698	2193901	944727
699	2196825	941496
700	2200168	938445
701	2203370	935333
702	2207049	932423
703	2210509	929418
704	2213743	926318
705	2217122	923277
706	2220333	920166
707	2223650	917098
708	2227208	914129
709	2230812	911176
710	2233366	907795
711	2236420	904619
712	2239705	901536
713	2242909	898420
714	2246194	895336
715	2249425	892230
716	2252515	889068
717	2255272	885775
718	2258798	882785
719	2262142	879721
720	2265353	876606
721	2268498	873466
722	2272057	870483
723	2274998	867264
724	2278005	864070
725	2281128	860921
726	2283707	857568
727	2287184	854552
728	2290389	851434
729	2293339	848221
730	2296352	845032
731	2299403	841858
732	2302725	838782
733	2305795	835615
734	2309028	832506
735	2312247	829393
736	2315467	826279
737	2318675	823161
738	2321998	820083
739	2325285	816992
740	2328468	813864
741	2331807	810790
742	2335396	807802
743	2338964	804805
744	2342272	801717
745	2345439	798581
746	2348645	795458
747	2351987	792380
748	2355388	789322
749	2358369	786123
750	2361196	782873
751	2364840	779894
752	2368422	776892
753	2371585	773753
754	2374954	770680
755	2378204	767568
756	2381305	764408
757	2384943	761419
758	2388380	758365
759	2391674	755265
760	2394839	752124
761	2398255	749061
762	2401421	745919
763	2404560	742770
764	2407836	739662
765	2411305	736613
766	2414690	733537
767	2418027	730445
768	2421188	727301
769	2424344	724154
770	2427363	720967
771	2430459	717804
772	2433998	714770
773	2437144	711621
774	2440169	708436
775	2443359	705299
776	2446590	702174
777	2450013	699104
778	2453304	695995
779	2455873	692682
780	2459091	689553
781	2462548	686490
782	2465826	683377
783	2468698	680151
784	2472013	677048
785	2475255	673924
786	2478316	670751
787	2481802	667693
788	2485215	664613
789	2488337	661456
790	2491190	658228
791	2494924	655232
792	2498085	652085
793	2501332	648960
794	2504171	645729
795	2507523	642631
796	2510706	639489
797	2513712	636303
798	2516899	633162
799	2520012	630003
800	2523180	626857
801	2525992	623624
802	2529725	620617
803	2532977	617492
804	2536034	614318
805	2539365	611212
806	2542635	608089
807	2545529	604878
808	2548639	601718
809	2551688	598544
810	2555016	595435
811	2558103	592270
812	2561565	589191
813	2565043	586115
814	2568195	582964
815	2570936	579720
816	2574306	576619
817	2577693	573521
818	2580522	570298
819	2583693	567152
820	2586925	564019
821	2590328	560922
822	2593532	557782
823	2596835	554663
824	2599818	551476
825	2603346	548404
826	2606437	545240
827	2610112	542197
828	2613303	539053
829	2616209	535850
830	2619177	532660
831	2622207	529484
832	2625320	526324
833	2628254	523129
834	2631553	520007
835	2634747	516864
836	2637672	513668
837	2640365	510428
838	2644025	507375
839	2647113	504212
840	2650365	501079
841	2653388	497904
842	2656526	494750
843	2659445	491556
844	2662501	488387
845	2665603	485228
846	2668264	481988
847	2671526	478858
848	2674986	475763
849	2678060	472598
850	2681136	469435
851	2684414	466306
852	2687775	463192
853	2691045	460061
854	2694141	456901
855	2697050	453709
856	2700212	450560
857	2702868	447327
858	2706153	444199
859	2709537	441087
860	2712456	437899
861	2715070	434663
862	2718532	431563
863	2721719	428418
864	2724866	425268
865	2727968	422110
866	2730905	418927
867	2733904	415755
868	2737632	412692
869	2741227	409608
870	2744529	406480
871	2747734	403337
872	2750874	400184
873	2754275	397069
874	2756836	393833
875	2760150	390706
876	2763287	387553
877	2765927	384331
878	2769566	381248
879	2772834	378113
880	2775896	374950
881	2779279	371831
882	2782475	368685
883	2785708	365545
884	2788883	362397
885	2791864	359224
886	2795476	356131
887	2798704	352989
888	2802478	349915
889	2805882	346794
890	2808886	343623
891	2812056	340473
892	2815092	337306
893	2818284	334158
894	2821314	330992
895	2824697	327866
896	2827745	324702
897	2830756	321533
898	2834051	318397
899	2837123	315235
900	2840114	312065
901	2843252	308912
902	2846336	305752
903	2849470	302598
904	2852294	299412
905	2855540	296270
906	2858769	293126
907	2861928	289975
908	2865938	286909
909	2869318	283778
910	2872615	280639
911	2875517	277462
912	2878464	274289
913	2881994	271172
914	2884915	267997
915	2888119	264849
916	2891527	261719
917	2894433	258544
918	2897891	255418
919	2900954	252256
920	2904181	249110
921	2907075	245934
922	2910107	242771
923	2912979	239595
924	2915839	236419
925	2918927	233262
926	2922077	230109
927	2925262	226960
928	2928568	223819
929	2931754	220669
930	2934855	217513
931	2937089	214294
932	2940597	211168
933	2943684	208011
934	2947014	204872
935	2950300	201729
936	2953429	198576
937	2956461	195416
938	2959689	192269
939	2963163	189138
940	2966367	185989
941	2969512	182836
942	2972618	179681
943	2975848	176533
944	2979240	173394
945	2982437	170244
946	2985652	167095
947	2988699	163937
948	2991849	160784
949	2995170	157640
950	2997955	154468
951	3001216	151321
952	3004195	148160
953	3007189	145000
954	3010605	141860
955	3013891	138714
956	3017041	135561
957	3019805	132392
958	3023040	129243
959	3026433	126101
960	3029727	122954
961	3032777	119797
962	3035727	116637
963	3038802	113482
964	3042108	110335
965	3045351	107186
966	3048580	104036
967	3051911	100889
968	3055674	97756
969	3059234	94615
970	3062514	91465
971	3065469	88305
972	3069123	85165
973	3071898	82001
974	3075394	78856
975	3078418	75698
976	3081500	72542
977	3084721	69390
978	3087914	66237
979	3091634	63094
980	3094745	59938
981	3098046	56787
982	3101241	53632
983	3103880	50469
984	3107209	47317
985	3110286	44162
986	3113787	41012
987	3116544	37852
988	3119595	34697
989	3123221	31547
990	3126511	28394
991	3129618	25238
992	3132778	22084
993	3135959	18929
994	3139272	15775
995	3142507	12620
996	3146043	9466
997	3149254	6311
998	3152684	3155
999	3155904	0
