iter	MultiClass
171	0.6901550612
172	0.6900897085
173	0.6899970502
174	0.6897504403
175	0.6895862963
176	0.6892994909
177	0.6892544875
178	0.6890269108
179	0.6889614297
180	0.6888662834
181	0.6885317923
182	0.688404113
183	0.6882875001
184	0.6882210597
185	0.6880786598
186	0.6875680645
187	0.687359448
188	0.6871270555
189	0.6869980601
190	0.6866433506
191	0.6863847156
192	0.6863353606
193	0.686102798
194	0.685979581
195	0.6857090517
196	0.6855765085
197	0.6854906783
198	0.6854239976
199	0.6853257086
200	0.6852279559
201	0.6851294542
202	0.6850273045
203	0.6849061443
204	0.684817376
205	0.6846576695
206	0.6845203768
207	0.6842805883
208	0.6840629011
209	0.6839587876
210	0.6836560143
211	0.6833004606
212	0.6832561431
213	0.6829375252
214	0.6828693453
215	0.6828022293
216	0.6827126945
217	0.6826138823
218	0.6824721703
219	0.6824100915
220	0.6823794366
221	0.6823339354
222	0.6822731867
223	0.6821880392
224	0.6820325783
225	0.6818076054
226	0.6817402669
227	0.6815862976
228	0.6812924776
229	0.6812154732
230	0.6811156081
231	0.6810907813
232	0.6810260443
233	0.6809847524
234	0.6806567305
235	0.6805182454
236	0.6804573654
237	0.6803398172
238	0.6802582003
239	0.6800593757
240	0.6799265616
241	0.6797905673
242	0.6797244226
243	0.6796748169
244	0.6795786222
245	0.6794411504
246	0.6793378891
247	0.679236777
248	0.6790280732
249	0.6789549805
250	0.6788799618
251	0.6786715028
252	0.6786545788
253	0.6785845347
254	0.6784849986
255	0.6784148037
256	0.6782801606
257	0.6781003662
258	0.6780244733
259	0.6779494667
260	0.6778948139
261	0.677854943
262	0.6777545277
263	0.6777151779
264	0.6776544987
265	0.677588794
266	0.6774979414
267	0.6774267477
268	0.6773917556
269	0.6773242893
270	0.6772442904
271	0.6771348272
272	0.6769923538
273	0.6768894441
274	0.6768319828
275	0.6767937253
276	0.6767292114
277	0.6766790536
278	0.6766332517
279	0.6766087428
280	0.6765500141
281	0.6764381892
282	0.6763810057
283	0.6762499496
284	0.6761991414
285	0.6761760919
286	0.6760663822
287	0.6759744766
288	0.675920205
289	0.6758376403
290	0.6757626363
291	0.6756726713
292	0.6756301083
293	0.6755774421
294	0.6754257359
295	0.6753381225
296	0.675165683
297	0.6751086323
298	0.67505304
299	0.674988785
300	0.6749728787
301	0.6746733498
302	0.6745868304
303	0.6745567335
304	0.6744682705
305	0.6743283689
306	0.6742751067
307	0.6739415828
308	0.6739141134
309	0.6737934497
310	0.6737766296
311	0.6737213704
312	0.6736927492
313	0.6736575514
314	0.6735595696
315	0.6734556541
316	0.6733414707
317	0.6732581117
318	0.6731313238
319	0.6731189373
320	0.6729809413
321	0.6729356125
322	0.6728867197
323	0.6728531984
324	0.672684982
325	0.6726603633
326	0.6726345291
327	0.6725976042
328	0.6725539616
329	0.6725020649
330	0.6723260839
331	0.6722348003
332	0.6721030471
333	0.6719681568
334	0.6719138234
335	0.6718258326
336	0.6717716163
337	0.6717557623
338	0.6716990686
339	0.6716178832
340	0.6715200786
341	0.6714930191
342	0.6714707579
343	0.6713927529
344	0.6713659789
345	0.6713284405
346	0.671311909
347	0.671223465
348	0.671159477
349	0.6711385906
350	0.6711244096
351	0.6710299998
352	0.6709833085
353	0.6709083277
354	0.6708710771
355	0.6708093315
356	0.6707393544
357	0.6706290479
358	0.6705186109
359	0.6703673351
360	0.6702773693
361	0.6702536662
362	0.6702190352
363	0.6702052389
364	0.6701654671
365	0.6701251346
366	0.6700446593
367	0.6699985656
368	0.6699396662
369	0.6699055632
370	0.6698111293
371	0.6697526423
372	0.6697081116
373	0.6696365823
374	0.6695679616
375	0.6695108191
376	0.669442511
377	0.6694011961
378	0.6693289861
379	0.6692942757
380	0.6692758248
381	0.6692414469
382	0.6690950562
383	0.6690425616
384	0.6690146682
385	0.6689653731
386	0.6688980252
387	0.6688723392
388	0.6688392165
389	0.6687305018
390	0.6686829209
391	0.6686652153
392	0.6685885211
393	0.6685629215
394	0.6685348491
395	0.6684779133
396	0.6684288754
397	0.6683342034
398	0.6682774331
399	0.6682335475
400	0.6681492038
401	0.6681262977
402	0.6681170322
403	0.668032097
404	0.667968762
405	0.6679449496
406	0.6678963277
407	0.6678337439
408	0.6677529388
409	0.6676916014
410	0.6676048563
411	0.6675809394
412	0.6675042511
413	0.6673943861
414	0.6672950605
415	0.6672629808
416	0.6672503218
417	0.6671402446
418	0.6669937554
419	0.6669755445
420	0.6669241356
421	0.6669008486
422	0.6668358939
423	0.6667850204
424	0.6667532241
425	0.6666900151
426	0.6666154521
427	0.6665847078
428	0.6665123609
429	0.6664601725
430	0.666420535
431	0.6663658342
432	0.6663330022
433	0.6662534714
434	0.666213444
435	0.6661358661
436	0.6660292961
437	0.6659986858
438	0.6659797646
439	0.6659257925
440	0.6657684189
441	0.6657475656
442	0.6656727807
443	0.6656176133
444	0.665584242
445	0.6655604736
446	0.6654957471
447	0.6654567305
448	0.6654177779
449	0.6653743075
450	0.665327183
451	0.6652959246
452	0.6652362856
453	0.6652228684
454	0.6651792862
455	0.6651612259
456	0.665091702
457	0.6650059367
458	0.6649553974
459	0.6647376812
460	0.6646968614
461	0.6645855585
462	0.6645711869
463	0.6644806376
464	0.6644315598
465	0.6643769699
466	0.664073902
467	0.6640531956
468	0.66395882
469	0.6639566581
470	0.6639160439
471	0.6638811518
472	0.6638654783
473	0.6638292303
474	0.6638022764
475	0.6637328297
476	0.6636930228
477	0.6636052436
478	0.663601309
479	0.6635007361
480	0.6634366041
481	0.6633727375
482	0.663329148
483	0.6632877724
484	0.6632625686
485	0.6631931464
486	0.663150953
487	0.6630929804
488	0.6630637865
489	0.6630424674
490	0.6630139258
491	0.662927947
492	0.6628872966
493	0.6628460262
494	0.6627252074
495	0.6627017942
496	0.6626743201
497	0.6626385011
498	0.6625265219
499	0.6624365892
500	0.6623498594
501	0.6622668584
502	0.6621821125
503	0.6620965112
504	0.6620088666
505	0.6619349418
506	0.6618728931
507	0.6618214778
508	0.6617678839
509	0.6617076235
510	0.6616687581
511	0.6616552873
512	0.6616408932
513	0.6615955252
514	0.6615022674
515	0.6614503822
516	0.6614215352
517	0.6613715383
518	0.6613154378
519	0.6612758049
520	0.6612452003
521	0.6612240902
522	0.661203144
523	0.6611777406
524	0.6610857518
525	0.6609848352
526	0.6609392449
527	0.6608993244
528	0.6608742658
529	0.6608401993
530	0.6607921021
531	0.6607329902
532	0.6606655839
533	0.6606453487
534	0.6605997604
535	0.6605925876
536	0.6605694475
537	0.6604964386
538	0.6604857536
539	0.6604157974
540	0.6603628653
541	0.6602931881
542	0.6602556585
543	0.6602263477
544	0.6602002936
545	0.6601179404
546	0.6600842882
547	0.6599823997
548	0.6599539667
549	0.6599233685
550	0.6598950861
551	0.6598501909
552	0.6598015845
553	0.6596780729
554	0.6596607842
555	0.6596010688
556	0.6595705796
557	0.6595335276
558	0.6595164179
559	0.6594912091
560	0.6594637117
561	0.6593928212
562	0.6593551714
563	0.6593234952
564	0.6592563138
565	0.6592460219
566	0.6592050947
567	0.6591898697
568	0.6591490927
569	0.6591167014
570	0.6590279469
571	0.6589920775
572	0.6589594508
573	0.6589044075
574	0.658861295
575	0.6588478845
576	0.6586120879
577	0.6585370147
578	0.6584960259
579	0.658380749
580	0.6583159315
581	0.6582593419
582	0.6582040393
583	0.6581223165
584	0.6581037061
585	0.657970465
586	0.6578627887
587	0.6577626744
588	0.6577078855
589	0.6576402519
590	0.6576272687
591	0.6575691768
592	0.6575293392
593	0.6575131296
594	0.6573817444
595	0.6572911762
596	0.6572579554
597	0.6572169982
598	0.657185468
599	0.6570940038
600	0.6570140172
601	0.6569863217
602	0.6569289593
603	0.6568533371
604	0.6567910879
605	0.6567588617
606	0.6567184322
607	0.6566902367
608	0.6566590789
609	0.6566006051
610	0.6565265337
611	0.6564828767
612	0.6564242136
613	0.6563955333
614	0.6563472439
615	0.6563171434
616	0.6562923692
617	0.6562466723
618	0.6561904807
619	0.6561731126
620	0.6561436924
621	0.6560946046
622	0.6560731549
623	0.6560480632
624	0.6560122326
625	0.6559585762
626	0.6559237631
627	0.6558614442
628	0.6558470539
629	0.6558135199
630	0.6557274154
631	0.6556884676
632	0.6556209632
633	0.6555942128
634	0.6555518016
635	0.6555076203
636	0.6554287984
637	0.6551748057
638	0.6551170019
639	0.655081387
640	0.655029688
641	0.655001642
642	0.6549779023
643	0.6548989334
644	0.6548754619
645	0.6548319107
646	0.6547883224
647	0.6547781217
648	0.6546846032
649	0.6546411979
650	0.6545835763
651	0.6545210437
652	0.6544851657
653	0.6544520426
654	0.6544299373
655	0.6543987359
656	0.6543730774
657	0.6543231532
658	0.6542996628
659	0.6542608963
660	0.6542394655
661	0.654167904
662	0.6541368896
663	0.6541160251
664	0.6540893957
665	0.6540709239
666	0.6540526541
667	0.6539644806
668	0.6538969298
669	0.6538811142
670	0.6538482252
671	0.6538139382
672	0.6537574977
673	0.6537144738
674	0.6536859907
675	0.6536407341
676	0.653606488
677	0.6535563285
678	0.6534991102
679	0.6534385072
680	0.6534248642
681	0.6533578961
682	0.6533089435
683	0.6532180094
684	0.6530746625
685	0.653033607
686	0.652921236
687	0.6528852648
688	0.6528225171
689	0.6527811168
690	0.6527538908
691	0.6527351003
692	0.6527041188
693	0.6526073109
694	0.652549029
695	0.6525114718
696	0.6524518776
697	0.6524146419
698	0.6523795716
699	0.6523566498
700	0.6523215781
701	0.6523051886
702	0.6522731606
703	0.652227227
704	0.6521970117
705	0.6521369514
706	0.6521031247
707	0.6520710459
708	0.6520099856
709	0.6519683234
710	0.6519451215
711	0.651873102
712	0.6518470955
713	0.6517997635
714	0.6517303732
715	0.6517126016
716	0.6516917549
717	0.6516677057
718	0.6516382984
719	0.6516099233
720	0.6515677995
721	0.651524792
722	0.6514871504
723	0.6514703504
724	0.6514615633
725	0.6514151821
726	0.6514084338
727	0.6513834096
728	0.6513457549
729	0.6513220831
730	0.6513108697
731	0.6512256726
732	0.6511590338
733	0.6511304165
734	0.6510761231
735	0.6510546587
736	0.6510268614
737	0.6509934735
738	0.6509141755
739	0.6508959611
740	0.6508712097
741	0.6508172099
742	0.6507380111
743	0.6506802623
744	0.6506387566
745	0.6506023269
746	0.6505569378
747	0.6505077679
748	0.6504804863
749	0.6504449221
750	0.6504141205
751	0.6503617301
752	0.6503356463
753	0.650300621
754	0.65023347
755	0.650208058
756	0.6502021787
757	0.6501349178
758	0.6500980767
759	0.650040432
760	0.6500188121
761	0.6499636703
762	0.6499562984
763	0.6499354708
764	0.6498721076
765	0.6497999852
766	0.6497783198
767	0.6497604918
768	0.6497156214
769	0.6496870902
770	0.6496621459
771	0.6496396444
772	0.6496211233
773	0.6495614152
774	0.6495426354
775	0.6494972054
776	0.6494631279
777	0.649423965
778	0.6493751222
779	0.6493534297
780	0.6493082996
781	0.649270511
782	0.6492528611
783	0.6492294057
784	0.6491997502
785	0.6491657995
786	0.6491221944
787	0.6490582954
788	0.6490353684
789	0.6489973802
790	0.6489847773
791	0.6489180408
792	0.648894423
793	0.6488102547
794	0.6487892574
795	0.6487576651
796	0.6487110694
797	0.6486764986
798	0.6486180204
799	0.6485816594
800	0.6485371406
801	0.6485125901
802	0.6484403505
803	0.6484009598
804	0.6483512953
805	0.6483226691
806	0.648283329
807	0.648275639
808	0.648242446
809	0.6481959078
810	0.648129992
811	0.6480887361
812	0.6480442591
813	0.647994501
814	0.6479108809
815	0.6478830807
816	0.6478467884
817	0.6478027987
818	0.6477813708
819	0.647741457
820	0.6477060429
821	0.6476830169
822	0.6476020322
823	0.6475617881
824	0.6475116516
825	0.6474714747
826	0.6474463186
827	0.6473847899
828	0.6473422318
829	0.64729453
830	0.64723824
831	0.64718037
832	0.6470868972
833	0.6470779412
834	0.6470070544
835	0.6469906305
836	0.646970377
837	0.6469509889
838	0.6469073285
839	0.6468896871
840	0.6468573726
841	0.6468145608
842	0.6467754257
843	0.6467488645
844	0.6466811962
845	0.6466546584
846	0.6466303611
847	0.6466154845
848	0.6465837103
849	0.6465673829
850	0.6465214244
851	0.646459403
852	0.6464144138
853	0.6463762847
854	0.6463079874
855	0.6462487824
856	0.6462036272
857	0.6461842483
858	0.6461230281
859	0.6460539394
860	0.6460340483
861	0.6460195636
862	0.6459332221
863	0.6458926177
864	0.6458652988
865	0.645790884
866	0.6457763443
867	0.6457615385
868	0.6456976928
869	0.6456718018
870	0.6456200706
871	0.645563368
872	0.6455171591
873	0.6454619127
874	0.6454177471
875	0.6453172175
876	0.6453011015
877	0.6452738052
878	0.6452525142
879	0.6451933823
880	0.6451862534
881	0.6451087148
882	0.6450603699
883	0.6450459064
884	0.6450237318
885	0.6449842635
886	0.6449582625
887	0.6449359099
888	0.6448888974
889	0.6448327092
890	0.6447894287
891	0.6447478716
892	0.6447208547
893	0.6447015308
894	0.6446599321
895	0.6446218219
896	0.6446023831
897	0.6445862428
898	0.644525238
899	0.644481802
900	0.6444720745
901	0.6444078434
902	0.6443791719
903	0.6442919535
904	0.6442572744
905	0.6442222237
906	0.6441830984
907	0.6441550958
908	0.6440521822
909	0.6440016927
910	0.6439701933
911	0.6439436647
912	0.6439228968
913	0.6438700935
914	0.6438469235
915	0.6437970368
916	0.6437814235
917	0.6437712068
918	0.6437565682
919	0.6436975415
920	0.643610191
921	0.6435295482
922	0.6434827736
923	0.6434701724
924	0.6434501999
925	0.6434169417
926	0.6433736488
927	0.6433160927
928	0.6432751438
929	0.643228606
930	0.6431788058
931	0.6431751406
932	0.6431461368
933	0.6431006393
934	0.6430473083
935	0.6430088166
936	0.6429890914
937	0.6429057554
938	0.6428867949
939	0.6428477418
940	0.6427976346
941	0.6427383907
942	0.6426901285
943	0.6426495851
944	0.6426274564
945	0.6425734768
946	0.6425192803
947	0.6424839838
948	0.6424478958
949	0.6424314826
950	0.6424103626
951	0.6423941713
952	0.6423664598
953	0.6423518409
954	0.6423379798
955	0.6422919109
956	0.6422658998
957	0.6422275673
958	0.6421857943
959	0.6421535673
960	0.6420855795
961	0.6420202829
962	0.6419678931
963	0.6419223664
964	0.6418923563
965	0.6418570052
966	0.6418447561
967	0.6417844585
968	0.6417600066
969	0.6417249967
970	0.6416470022
971	0.641570033
972	0.6414982472
973	0.6414749731
974	0.641436631
975	0.6414226827
976	0.6413598039
977	0.6413017113
978	0.6412521486
979	0.6412087273
980	0.6411568929
981	0.6411298367
982	0.6410827202
983	0.641060543
984	0.6410303349
985	0.6410090808
986	0.640950502
987	0.6409322409
988	0.6408835109
989	0.640837916
990	0.6408155675
991	0.6407922027
992	0.6407563573
993	0.6407392591
994	0.64070131
995	0.6406230569
996	0.6405780313
997	0.6405337201
998	0.6404892871
999	0.6404517927
